price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_above,sqft_basement
1395000,5,3.5,4010,8510,2,5,2850,1160
736500,4,2.5,3180,21904,2,3,3180,0
570000,3,2.25,2010,6000,1,3,1330,680
787000,3,1.75,1330,7500,1,3,1330,0
328000,4,2.5,2370,6500,2,3,2370,0
435000,5,2,1840,9240,1,4,1540,300
499000,4,2.5,2910,6479,2,3,2910,0
501000,4,1,2070,7519,1,3,1160,910
1090000,4,2.5,4340,141570,2.5,3,4340,0
400000,2,1,840,5510,1,3,840,0
220000,4,1.5,1240,9600,1,3,1240,0
657100,4,1,1390,4240,1,3,1050,340
309950,4,2.75,2310,5000,2,3,2310,0
300000,3,2,1050,10072,1,3,1050,0
525888,5,1.75,2550,71874,1,5,1810,740
740000,4,1.75,2010,3600,1.5,3,2010,0
340000,5,1,1120,9022,1.5,4,1120,0
398750,3,2.5,2230,4000,2,3,2230,0
206000,2,1,810,7158,1,5,810,0
1030000,5,2.75,3190,16920,1,3,1690,1500
600000,3,1.75,1670,39639,1,4,1670,0
379950,4,1.75,1970,9389,1,5,1140,830
287000,3,1,1450,6000,1,4,1450,0
2280000,7,8,13540,307752,3,3,9410,4130
309950,3,2.5,1880,7838,2,3,1880,0
600000,3,1.75,1880,6360,1,4,1040,840
418000,3,2,1410,6030,1.5,4,1410,0
449250,4,2,1480,3844,1.5,5,1480,0
329950,2,1,1140,5250,1.5,4,1140,0
245000,3,1.75,1920,9306,1,3,1000,920
549000,4,2.5,2910,6338,2,3,2910,0
800000,3,2.5,3240,7857,2,3,3240,0
249950,3,2,1550,15040,1,4,1550,0
210000,5,2,2050,10200,1,3,1430,620
1425000,2,2.5,2220,4000,2,3,2220,0
585000,2,1,1770,8640,1.5,3,1520,250
615000,4,1.75,2300,11700,1,4,1960,340
618500,3,2,1800,5000,1,4,1080,720
487585,4,1.75,2010,9211,1,3,1470,540
509900,3,2.5,1790,2700,2,3,1790,0
631625,4,2.5,2440,6651,2,3,2440,0
555000,3,2.5,1940,3211,2,3,1940,0
340000,2,1.5,1160,1438,2,3,1160,0
830000,4,2.5,3400,9692,2,3,3400,0
890000,4,4.25,4420,5750,2,3,3410,1010
366750,3,3,1571,2017,3,3,1571,0
415000,3,2.25,1620,998,2.5,3,1540,80
416286,3,2.5,1408,989,3,3,1408,0
478000,3,2.5,3040,4535,2,3,3040,0
890000,5,3.5,4490,6000,2,3,3200,1290
419190,2,2.5,1590,1426,2,3,1590,0
712198,4,2.5,2450,4247,2,3,2450,0
397000,4,2,1440,7680,1,3,1200,240
450000,2,2,1100,3000,1.5,3,1100,0
353000,3,1,1350,7740,1,4,860,490
609000,4,2.5,2150,37981,2,3,2150,0
234000,3,1.75,1490,8366,1,4,1010,480
561000,3,2,2000,7000,2,3,2000,0
469000,2,1,1030,4400,1,3,1030,0
329350,2,1,720,6687,1,3,720,0
488000,5,2,2020,5000,1.5,4,2020,0
279900,3,1.75,1580,8151,1,4,1100,480
606000,4,2.5,2110,13850,2,3,2110,0
312000,4,2,1300,7054,1,3,1300,0
650000,3,1.5,1630,7475,1,3,1160,470
1135000,4,2.75,3370,8103,1,3,1970,1400
325000,4,2.5,1890,6156,1,3,980,910
425000,4,2,1520,7983,1,5,1520,0
219000,2,1,900,5160,1,3,900,0
250000,3,1,1050,6874,1,3,1050,0
390000,3,1.75,1260,6500,1,4,1260,0
475000,6,3,3470,117612,1.5,3,3470,0
736000,4,2.5,2290,12047,2,4,2290,0
407000,4,2.25,2810,23400,1,3,1710,1100
272000,3,2.5,1650,13816,2,3,1650,0
362000,3,2.25,1640,14374,1,4,1140,500
535000,3,2.5,1850,10109,2,3,1850,0
284000,4,2.5,2000,5390,2,3,2000,0
367500,3,1.5,1410,9647,1,3,1410,0
379900,4,1.75,1500,11600,1,4,1000,500
520000,3,2.5,2460,54885,2,4,2460,0
175000,3,1,1010,7034,1,3,1010,0
460000,2,2.25,1230,929,2,3,1020,210
345000,4,2.5,2331,3826,2,3,2331,0
455000,5,2.5,2240,7770,1,3,1340,900
610000,4,3,2450,10117,1,5,1580,870
563000,4,3,3100,15480,2,3,2400,700
612500,4,2,2060,5000,1,3,1030,1030
218000,3,1.75,1850,7684,1,3,1320,530
404000,4,1.75,1840,10720,1,3,960,880
860000,4,2,3740,32417,2,3,3740,0
136500,3,1.5,1420,8580,1,3,1420,0
313950,3,1,1510,6083,1,4,860,650
575000,3,1.75,2130,6500,1,3,1170,960
1225000,4,2.25,3490,6906,2,4,2280,1210
280000,3,1.75,1630,11800,1,4,1630,0
515000,3,2.5,1790,7167,2,3,1790,0
513000,4,2.5,2000,5684,2,3,2000,0
599000,4,2.25,2260,29930,2,4,1400,860
685000,4,2.5,3030,7864,2,3,3030,0
365000,3,1.5,1310,8160,1,3,1310,0
762300,4,2.5,3880,14550,2,3,3880,0
1580000,4,3.25,3760,10920,1.5,5,2400,1360
562000,5,2.25,3040,8111,2,3,3040,0
530000,5,2.5,2910,9636,1,4,1690,1220
525000,3,2.5,2970,11985,1,3,1770,1200
484000,2,1.75,1660,6000,1,3,1160,500
725126,4,2.5,3200,12369,2,3,3200,0
360000,4,2,2680,18768,1,5,2680,0
387000,3,1,1230,9568,1,5,1230,0
483500,4,2.5,2740,45732,2,3,2740,0
655500,4,3.5,3380,8330,2,3,3380,0
345000,3,1,1110,6250,1,3,1110,0
533000,5,2.75,1800,3780,1.5,3,1400,400
385000,3,1.75,1900,5520,1,3,1280,620
675000,2,1,930,36478,1,3,930,0
197000,3,1.75,1690,7735,1,4,1060,630
485000,3,2,1420,4080,1.5,3,1420,0
1870000,5,4,4510,15175,2,3,4510,0
295000,3,2.25,1980,8000,1,4,1560,420
499000,2,1.75,1170,2400,1,4,740,430
1050000,3,2.5,2200,1970,2,3,1610,590
191000,3,1.5,800,8850,1,4,800,0
500000,3,2.5,1480,1171,3,3,1480,0
390000,5,3.75,2890,5000,1,3,1310,1580
979000,3,2.5,2690,4047,3,3,2690,0
580000,4,3.25,3569,8327,2,3,3569,0
369950,3,2,1270,1320,3,3,1270,0
1800000,5,5,4490,10279,2,3,3930,560
776000,4,2.5,3040,6425,2,3,3040,0
519950,3,2.25,1170,1249,3,3,1170,0
255000,5,2.25,2060,8632,1,3,1030,1030
495000,3,1,990,6000,1,3,990,0
510000,4,2.5,2430,5203,2,3,2430,0
1150000,4,4,4460,103382,2,3,4460,0
253000,3,1.75,1250,10122,1,3,1250,0
503000,3,2.75,1540,6760,1,5,1210,330
275000,3,2.5,1600,7000,2,4,1600,0
249000,3,1,1110,8423,1,3,1110,0
310000,3,1.75,1840,10723,1,4,1220,620
750000,3,2.75,2520,5401,1,4,1360,1160
630000,3,2.5,2680,327135,2,3,2680,0
599999,9,4.5,3830,6988,2.5,3,2450,1380
758000,4,2.75,2410,9549,1,4,1780,630
248500,4,1.75,1720,10018,1,5,1720,0
310000,3,1.75,2070,37904,1,4,1420,650
460000,3,2,1760,9055,2,4,1760,0
675000,3,1.75,1680,10500,1,4,1680,0
526000,2,2,1550,2400,1.5,4,1550,0
560000,3,3,4120,60392,2,3,3180,940
415000,4,3,1830,9548,2,3,1830,0
246000,3,1,1400,7410,1,3,1400,0
314500,3,1.75,1870,12381,1,4,1870,0
3200000,7,4.5,6210,8856,2.5,5,4760,1450
420000,2,1.5,1040,3500,1.5,4,1040,0
535000,3,1.75,2720,149410,1.5,3,2720,0
350000,3,1,1010,9360,1,3,1010,0
515000,3,1.75,1580,9147,1,4,1210,370
749950,4,2.75,2600,6050,2,5,1960,640
230000,3,2.5,1920,9180,2,3,1920,0
568000,3,2,2350,5080,1.5,3,1780,570
250000,1,1,1100,4373,1,2,820,280
581000,4,2,2510,13695,1,4,1280,1230
651000,3,2.5,3240,108366,2,4,3240,0
600000,3,2.5,2460,108900,1,4,1860,600
500000,2,1,1010,3885,1.5,4,1010,0
475000,2,1,820,2723,1,3,820,0
352000,5,2.5,2420,8560,1,3,1620,800
420000,3,2.25,1770,8165,2,3,1770,0
428000,2,2,1350,3900,1,3,1350,0
599000,3,1.75,1960,4788,1,4,1090,870
492000,4,2.5,3305,16164,1.5,5,2245,1060
630000,2,2.25,2550,5663,1,3,1720,830
900000,5,3.75,4130,226076,2,3,3170,960
1110000,4,1.5,2310,13300,1,3,1890,420
575000,4,2,1650,5000,1,3,1650,0
705000,4,2.5,2650,4316,1.5,3,1520,1130
940000,4,2.25,1890,5940,1,3,1470,420
313000,3,1.75,2190,8000,1,4,2190,0
618080,3,2.5,2030,6500,2,3,2030,0
640000,3,3,2270,5175,2,3,2130,140
485000,3,2,1610,4160,1,4,1010,600
300000,2,1,760,3001,1,3,760,0
379500,2,1,1640,17335,1,3,840,800
339950,3,2.25,1630,12295,2,4,1630,0
1500000,6,2.5,3560,6480,2.5,4,3560,0
1340000,3,3,2960,5500,2,3,2440,520
500000,3,2.5,1940,37565,1,4,1940,0
239900,3,2,1410,7566,1,3,1410,0
314950,3,1,1040,16986,1,4,1040,0
361280,2,1,820,6400,1,4,820,0
100000,2,1,910,22000,1,3,910,0
540000,7,5.75,3700,7647,2,3,3700,0
480500,4,2.5,2180,11200,1,4,2180,0
280000,3,2.5,1600,4271,2,3,1600,0
440000,3,1.75,1500,6180,1,4,1060,440
530000,3,1,1340,4284,1,3,1080,260
560000,3,2,1860,13374,1,3,1860,0
775000,3,2,2540,7200,1.5,4,1600,940
160000,2,1,1040,13100,1,5,1040,0
209950,3,1.5,1380,11130,1,3,1380,0
226500,3,1.75,1640,10762,1,3,1130,510
380000,5,1.75,3000,6000,1,5,1500,1500
409500,4,2.75,2140,13000,1,3,1320,820
690000,3,2,1760,6428,1,4,980,780
405000,3,2.25,1660,8307,1,4,1660,0
375000,3,2.5,1830,13042,2,3,1830,0
794154,4,2,2210,8556,1,4,1210,1000
185000,4,1,1490,6600,1,3,1490,0
245000,3,1.5,1260,1270,2,3,1040,220
1532500,5,4.5,4270,8076,2,3,3400,870
1040000,4,3.5,3900,8391,2,3,3900,0
425000,2,2.5,1150,1027,3,3,1150,0
495000,4,2.75,2656,21195,2,3,2656,0
365000,5,2.75,2410,5003,1,3,1410,1000
417250,3,2.25,1606,1452,3,3,1606,0
339950,2,1,820,681,3,3,820,0
615000,2,1,1540,6872,1,4,820,720
403000,3,2.75,2090,8354,2,3,2090,0
980000,5,2.5,3160,11470,1,4,1780,1380
258000,4,1.75,1730,8320,1,3,1230,500
533000,3,1,1670,4080,1,3,1170,500
537500,4,2.5,2550,4630,2,3,2550,0
830000,5,3,3040,9601,1,5,1970,1070
712000,3,1,1250,4620,1.5,4,1150,100
262000,4,2.5,2020,6236,2,3,2020,0
753888,4,2.5,2660,5500,2,3,2660,0
134000,2,1.5,980,5000,2,3,980,0
402000,3,2.5,1960,8000,1,4,1290,670
205000,2,1,720,5040,1,3,720,0
553650,2,2.5,1360,1349,2,3,1050,310
559950,2,2,1870,4950,1,3,1870,0
260000,4,1.5,2130,8800,1,3,1100,1030
270000,4,2.5,1810,6509,2,3,1810,0
295000,2,1.75,2200,89298,1,3,1100,1100
719000,3,2.5,1690,4500,1.5,4,1690,0
266000,3,2.5,1940,8547,1,3,1460,480
325900,4,2.5,2320,6270,2,3,2320,0
647500,4,1.75,2060,26036,1,4,1160,900
1039000,4,1,3410,5000,2,5,2190,1220
569000,4,2.25,2250,41688,2,3,2250,0
246000,3,1.75,1390,7399,1,4,1390,0
515000,2,1,1060,4960,1,3,1060,0
207000,3,1,1490,8995,1,4,1490,0
780000,4,1.75,2480,9195,1,3,1390,1090
489990,5,2.25,2440,20828,1.5,4,2440,0
335000,3,1.5,2240,87625,1.5,2,1480,760
295000,3,2.5,1920,7229,2,3,1920,0
385000,3,1.75,1890,9920,1,3,1230,660
350000,4,1.75,2250,13515,1,4,2150,100
235000,2,1,1270,3008,1,4,650,620
358000,2,1.5,960,1808,2,3,960,0
716500,4,2.5,3290,6465,2,3,3290,0
228000,4,1.75,2000,6120,1,3,1100,900
405000,2,1,1020,8155,1,4,1020,0
538000,4,1.75,1840,9600,1,3,1220,620
530000,3,1.75,1980,6760,1,4,1980,0
1750000,6,3,3510,5760,2.5,4,3510,0
636000,2,1.75,1230,3600,1.5,5,1230,0
535000,4,2.5,2280,65836,2,3,2280,0
1500000,3,1.75,2430,12757,1,4,1340,1090
868500,3,2.5,2920,3942,3,3,2920,0
530000,4,2.75,2280,2850,1.5,4,1540,740
450000,3,2,1510,43560,1,3,1510,0
230000,3,1.75,950,6000,1,3,790,160
229000,3,2.5,1190,3000,2,3,1190,0
437000,3,1.75,1310,9282,1,4,1310,0
1307000,5,3.25,2800,3200,1.5,5,1910,890
595000,3,2.5,1750,3354,2,4,1750,0
660000,3,1.75,1320,5750,1.5,5,1320,0
347500,4,2.5,2460,7350,2,3,2460,0
297950,3,2,1240,10800,1,3,1240,0
245000,3,1.5,1260,7964,1,4,1260,0
543200,6,2.25,2820,15600,1.5,5,1970,850
1250000,4,3.25,3820,24166,2,4,3310,510
413450,3,2.5,1540,1614,3,3,1470,70
330000,2,2,1550,435600,1.5,2,1550,0
424500,3,1.75,1460,7700,1,3,1460,0
230000,3,1,1390,16000,1,4,1390,0
930000,3,3.25,2640,4080,2,3,1840,800
349000,3,1.75,1590,9620,1,3,1590,0
835000,4,2,1910,6960,1.5,5,1910,0
988500,3,2.75,2015,16807,2,3,2015,0
500000,3,1.75,1410,1197,3,3,1410,0
499000,2,1.5,1110,957,2,3,930,180
321950,2,1.25,860,1277,2,3,860,0
494000,3,2.5,2310,4729,2,3,2310,0
441750,2,1.5,1020,1060,3,3,1020,0
438000,2,1,980,1179,2,3,980,0
985000,4,2.25,4230,37769,2,3,4230,0
352000,3,2.25,1640,11050,1,4,1640,0
839900,4,3.5,3810,13592,1,3,2560,1250
765000,4,2.75,2790,10819,2,3,2790,0
460000,4,1.75,1750,5500,1.5,5,1050,700
224500,4,1,1430,8355,1.5,4,1430,0
254000,3,2.5,1850,4597,2,3,1850,0
255000,2,1,960,28717,1,4,960,0
610000,3,3,2480,45302,1,4,1620,860
920000,4,3,3750,11025,2,3,3750,0
402500,4,2.5,2600,11951,2,3,2600,0
280950,3,1.75,1390,8700,1,4,840,550
604000,4,2.5,2260,7753,2,3,2260,0
565000,4,2.25,2470,7447,2,3,2470,0
255000,2,1,810,7980,1,1,810,0
445000,4,2,1650,6000,1,5,1000,650
2400000,3,2.25,3000,11665,1.5,3,3000,0
195000,2,1,720,18000,1,3,720,0
275000,3,1.5,1390,48257,1,3,1390,0
387000,3,2.25,1445,1606,2,3,1300,145
490000,2,1,1840,3300,1.5,4,1130,710
505000,3,2.5,2100,5824,2,3,2100,0
303500,3,1.5,1060,10464,1,4,1060,0
270000,3,1.5,1500,6337,1,5,1500,0
323000,4,2.75,1970,7213,1,3,1170,800
382000,3,3.25,1410,1253,3,3,1410,0
1370000,4,2.75,3720,9450,1,5,1960,1760
280000,4,2,2190,14439,1,4,1180,1010
260000,3,2,1920,8075,1,4,1510,410
201500,3,1,1160,8320,1,4,1160,0
1157200,4,4.25,5860,52889,2,4,4910,950
536500,4,1.75,2000,4000,1.5,5,1450,550
248000,4,3,2163,5883,2,3,2163,0
532000,5,3,3480,57499,1,4,2340,1140
580000,4,2.5,2840,6268,2,3,2840,0
463000,2,1,1150,4400,1,4,1150,0
742500,4,2.75,3100,3773,2,3,2000,1100
260000,3,2.5,1420,14850,1,4,1020,400
590000,4,2.25,2430,32496,1,3,2430,0
312000,4,2.25,1930,7452,1,3,1430,500
566000,3,2.25,1660,10140,1,4,1370,290
511555,3,2,1400,7293,1,4,1400,0
583000,4,2.5,2660,4000,2,3,2660,0
290000,4,2.5,2000,13300,1,4,1200,800
311100,4,2.25,2130,8078,1,4,1380,750
325000,3,2.25,1352,1694,3,3,1352,0
491300,3,1.75,1750,11340,1,4,1300,450
315000,5,1.75,2320,8100,1,4,1160,1160
360000,2,1,1420,81892,1,3,1180,240
330000,4,2.5,1940,3784,2,3,1940,0
481450,3,2,1410,4800,1,3,1410,0
234950,3,1,1360,9948,1,3,1360,0
251000,3,1.75,1220,7250,1,3,1220,0
782000,4,2.5,2830,20345,2,3,1980,850
833000,4,2.75,3780,10308,2,3,3780,0
542500,4,2.5,2330,14289,2,4,2330,0
851000,3,2.5,3560,107290,2,3,3560,0
325000,4,1.5,1470,70800,1,3,1470,0
415000,4,2.25,3060,48787,2,3,3060,0
252500,3,1,1030,6127,1,3,880,150
465000,4,2.5,1930,9653,1,4,1930,0
336900,3,1.75,1780,120661,1,4,1780,0
225000,3,2.5,2000,9202,2,4,2000,0
270000,3,2,1690,9583,1,4,1690,0
1702500,5,4.5,5190,23716,2,3,3390,1800
536000,3,1.75,1300,5413,1.5,3,1300,0
585000,4,3.25,2400,29252,2,4,2400,0
445000,2,2,1150,6634,1,3,860,290
320000,4,2.25,2310,7490,2,3,2310,0
769900,4,3.5,2730,3047,2,3,2400,330
557000,4,2.5,2840,4500,2,3,2840,0
212000,2,1.5,1020,1525,2,3,1020,0
376000,3,2,1340,1384,3,3,1340,0
800000,4,3.25,3540,159430,2,3,3540,0
2238888,5,6.5,7270,130017,2,3,6420,850
324000,3,2.25,998,904,2,3,798,200
549900,5,2.75,3060,7015,1,5,1600,1460
320000,3,2.5,2130,6969,2,3,2130,0
875000,4,2,2520,6000,1,3,1400,1120
265000,4,1,1940,9533,1,3,1080,860
394950,3,2.5,1350,1250,3,3,1270,80
842500,4,2.5,2160,5298,2.5,4,2160,0
368000,3,2.5,1370,1350,2,3,1010,360
1225000,4,4.5,5420,101930,1,3,3890,1530
885000,4,2.5,2830,5000,2,3,2830,0
453246,3,2.5,2010,2287,2,3,1390,620
927000,4,2.75,3300,12090,2,3,3300,0
490000,2,2.5,1230,1391,2,3,870,360
341000,3,1.5,1720,7119,1.5,4,1720,0
235000,1,1,810,2451,1,5,810,0
1200000,3,1.75,1560,8078,1.5,4,1560,0
560000,3,2,2560,216777,1,3,2560,0
900000,4,3.25,4700,38412,2,3,3420,1280
255000,2,1,1220,2500,1,3,770,450
1575000,5,2.75,3650,20150,1,4,2360,1290
876650,3,3.25,2170,12508,1.5,5,1650,520
540000,4,2.25,2540,228254,1,3,1450,1090
350000,2,1,910,4500,1.5,4,910,0
750000,4,2.5,2980,4930,2,3,2890,90
582000,4,1.75,2120,4650,1,3,1190,930
1315000,4,3.5,3460,3997,2,3,2560,900
372500,5,3,2480,10090,1,3,1300,1180
410000,3,2.25,2200,16921,2,3,2200,0
360000,4,2,1730,5500,1,5,1010,720
1015000,3,2.5,2920,34527,1,4,1800,1120
225000,3,1,990,8012,1,4,990,0
647000,4,2.5,3040,6887,2,3,3040,0
950000,5,3,4530,258746,1.5,4,3200,1330
185000,3,1.5,1370,8470,1,4,1370,0
335000,3,2.5,1940,4927,2,3,1940,0
210000,3,2.5,1040,2643,2,3,720,320
522000,4,2.25,1800,8623,1,4,1360,440
770000,3,1.75,1720,5000,1,3,1720,0
499950,3,1,980,6380,1,3,760,220
751000,4,2.5,3110,6142,2,3,3110,0
330000,5,3,2100,7715,1,3,1250,850
465000,3,1.5,2020,11358,1,4,1190,830
850000,4,1.75,2350,11914,1,4,2350,0
947500,4,2.25,3290,12329,1.5,4,3290,0
302000,5,2.25,2180,7813,2,3,2180,0
500000,2,2.25,1290,1334,3,3,1290,0
201000,3,1,1460,9750,1,4,1460,0
265000,2,1,1290,2828,2,3,1290,0
870300,4,2.5,2350,3150,1.5,4,1690,660
339000,3,1,1080,8100,1,4,1080,0
690000,4,2.5,2670,13463,2,4,2670,0
788000,4,3.25,3680,5759,2,3,2840,840
315275,3,1.75,1440,8040,1,3,960,480
505000,4,1.75,1940,4800,1,5,1030,910
368000,3,1,1280,9898,1,3,1280,0
947500,3,2.75,2980,27144,1.5,5,2180,800
156000,3,1,970,8580,1,3,970,0
610000,4,3,2110,5000,1.5,4,1640,470
420000,2,2.5,1480,1369,3,3,1480,0
192000,2,1,700,10540,1,3,700,0
910000,3,2,2700,6120,1,4,1350,1350
1300000,4,3.25,2330,9687,2,3,2330,0
1346400,5,1.75,3380,20021,1,4,1690,1690
840000,4,2.75,2600,2750,1.5,3,1620,980
300000,2,1.75,1360,8100,1,3,860,500
505000,4,2.5,2780,6369,1,3,1590,1190
110000,3,1,1250,53143,1,5,1250,0
746000,3,2.5,2620,8950,2,3,2620,0
211000,3,1.5,1350,7620,1,5,1350,0
675000,4,3,2400,3340,1,4,1200,1200
734200,4,2.5,2760,5000,1.5,5,1680,1080
1225000,4,2.25,3070,16028,1,3,1870,1200
615000,2,1.75,2040,28593,1.5,4,2040,0
630000,4,2,1770,6000,2,5,1770,0
1264000,4,3.75,3490,9170,2,3,3490,0
301500,2,1.5,830,1333,2,3,830,0
369000,2,2.5,980,895,2,3,670,310
635000,3,2.5,1570,1433,3,3,1570,0
1033888,4,3.25,3270,5187,2,3,3110,160
383000,4,2.5,2160,6223,2,3,2160,0
1050000,4,3.75,3280,11000,2,3,2320,960
455000,4,2.5,3360,7685,2,3,3360,0
819900,5,2.75,3150,7119,2,3,3150,0
625000,3,3.5,1810,1846,2,4,1440,370
651000,4,2.5,2740,7140,2,3,2740,0
480000,5,4.75,3830,35000,1,3,2130,1700
757000,3,3.25,3190,5283,2,3,3190,0
460000,3,2.25,2350,10450,1,3,1390,960
267345,4,2.25,2510,8165,1,4,1610,900
530000,2,2,1680,4950,1,3,1680,0
449500,3,2,1770,6610,1,4,960,810
289000,3,1,1090,7315,1,5,1090,0
373000,5,2.5,3001,5710,2,3,3001,0
525000,5,3,2450,4591,2,3,2450,0
777000,3,3.25,3610,59677,2,3,2440,1170
550000,4,2,2250,7500,1,5,1200,1050
523000,3,1.5,1240,7735,1,4,1240,0
628000,4,2,2260,6000,1,3,1430,830
581000,4,1.75,2090,8164,1,4,1070,1020
245000,5,1.75,2020,7902,1,3,1220,800
415000,3,1.75,1960,5000,1,5,980,980
1895000,5,2.25,3120,16672,2,4,3120,0
225000,3,1.5,1250,7500,1,3,1250,0
287000,3,2.25,1490,9600,1,4,1170,320
799200,6,3,2890,2370,2.5,3,2290,600
239950,3,1,1900,33888,1.5,4,1900,0
591000,3,1.75,1680,2400,1,5,870,810
700000,3,2.5,2030,8398,2,4,2030,0
475000,4,2.5,3740,8700,1,3,2260,1480
575000,3,1.75,1580,11750,1,4,1180,400
771000,3,2.25,1780,6120,1.5,4,1390,390
155000,2,1,910,6232,1,3,910,0
550000,7,4,3440,8100,2,3,3440,0
645000,3,2.5,1740,13750,2,4,1740,0
464000,5,2.5,3400,8970,1,4,1700,1700
1050000,4,3.25,4400,16625,2,3,4400,0
350000,3,2.5,2010,14298,2,3,2010,0
591000,4,2.25,2710,38180,2,4,2710,0
2555000,4,2.5,5300,26211,2,2,4570,730
717000,3,1.5,1310,3880,1,3,1090,220
225000,4,1.5,1950,12559,1.5,3,1950,0
225000,3,1,1040,6535,1,3,1040,0
345000,3,1.75,1090,7200,1,3,1090,0
230000,2,0.75,650,5360,1,4,650,0
385000,3,2,1480,6600,1,3,740,740
